Time [s],Atomnumber
0.0,8077.0
3.6814,7935.0
7.3628,8060.0
11.0442,7992.0
14.7256,7880.0
18.407,8066.0
22.0884,7979.0
25.7698,7747.0
29.4512,7786.0
33.1326,7890.0
36.814,7823.0
40.495400000000004,7627.0
44.1768,7754.0
47.8582,7775.0
51.5396,7771.0
55.221000000000004,7623.0
58.9024,7530.0
62.5838,7471.0
66.2652,7395.0
69.9466,7742.0
73.628,7161.0
77.3094,7280.0
80.99080000000001,7208.0
84.6722,7273.0
88.3536,7549.0
92.035,7429.0
95.7164,7337.0
99.3978,7210.0
103.0792,7348.0
106.7606,7423.0
110.44200000000001,6893.0
114.1234,7138.0
117.8048,7088.0
121.4862,7121.0
125.1676,7087.0
128.849,7355.0
132.5304,7561.0
136.2118,7084.0
139.8932,7180.0
143.5746,7084.0
147.256,6859.0
150.9374,6882.0
154.6188,6781.0
158.3002,6886.0
161.98160000000001,6907.0
165.663,6754.0
169.3444,6755.0
173.0258,6573.0
176.7072,6800.0
180.3886,6463.0
184.07,6514.0
187.7514,6353.0
191.4328,6604.0
195.1142,6456.0
198.7956,6387.0
202.477,6676.0
206.1584,6734.0
209.8398,6649.0
213.5212,6552.0
217.2026,6419.0
220.88400000000001,6499.0
224.5654,6125.0
228.2468,6048.0
231.9282,6154.0
235.6096,6310.0
239.291,6329.0
242.9724,6235.0
246.6538,6143.0
250.3352,6094.0
254.0166,6291.0
257.698,6093.0
261.3794,6169.0
265.0608,6059.0
268.7422,6142.0
272.4236,6069.0
276.105,6393.0
279.7864,6271.0
283.4678,6126.0
287.1492,6197.0
290.8306,5938.0
294.512,5894.0
298.1934,5841.0
301.8748,5935.0
305.5562,5854.0
309.2376,5686.0
312.919,5902.0
316.6004,5723.0
320.2818,5578.0
323.96320000000003,5659.0
327.6446,5835.0
331.326,5810.0
335.0074,5804.0
338.6888,5763.0
342.3702,5784.0
346.0516,5783.0
349.733,5691.0
353.4144,5715.0
357.0958,5694.0
360.7772,5636.0
364.4586,5635.0
368.14,5767.0
371.8214,5619.0
375.5028,5510.0
379.1842,5594.0
382.8656,5493.0
386.547,5522.0
390.2284,5374.0
393.9098,5326.0
397.5912,5416.0
401.2726,5469.0
404.954,5290.0
408.6354,5502.0
412.3168,5355.0
415.9982,5525.0
419.6796,5590.0
423.361,5386.0
427.0424,5189.0
430.7238,5098.0
434.4052,5093.0
438.0866,4997.0
441.76800000000003,5113.0
445.4494,5298.0
449.1308,5324.0
452.8122,5099.0
456.4936,5239.0
460.175,5045.0
463.8564,5271.0
467.5378,5195.0
471.2192,5227.0
474.9006,5163.0
478.582,5323.0
482.2634,5303.0
485.9448,5297.0
489.6262,5256.0
493.3076,5089.0
496.989,5042.0
500.6704,4962.0
504.3518,4955.0
508.0332,4934.0
511.7146,4677.0
515.396,4867.0
519.0774,4786.0
522.7588,4947.0
526.4402,4934.0
530.1216,4953.0
533.803,4684.0
537.4844,4733.0
541.1658,4842.0
544.8472,4860.0
548.5286,4844.0
552.21,4946.0
555.8914,4859.0
559.5728,4909.0
563.2542,4833.0
566.9356,4940.0
570.617,4778.0
574.2984,4725.0
577.9798,4589.0
581.6612,4491.0
585.3426,4409.0
589.024,4376.0
592.7054,4380.0
596.3868,4415.0
600.0682,4338.0
603.7496,4299.0
607.431,4331.0
611.1124,4383.0
614.7938,4235.0
618.4752,4401.0
622.1566,4462.0
625.838,4402.0
629.5194,4292.0
633.2008,4399.0
636.8822,4427.0
640.5636,4315.0
644.245,4252.0
647.9264000000001,4285.0
651.6078,4251.0
655.2892,4184.0
658.9706,4214.0
662.652,4359.0
666.3334,4347.0
670.0148,4301.0
673.6962,4237.0
677.3776,4343.0
681.059,4324.0
684.7404,4428.0
688.4218,4265.0
692.1032,4260.0
695.7846,4164.0
699.466,4195.0
703.1474,4165.0
706.8288,4164.0
710.5102,4002.0
714.1916,4089.0
717.873,3988.0
721.5544,3820.0
725.2358,3894.0
728.9172,3931.0
732.5986,3803.0
736.28,4016.0
739.9614,4021.0
743.6428,3945.0
747.3242,3976.0
751.0056,3746.0
754.687,3680.0
758.3684,3729.0
762.0498,3632.0
765.7312,3815.0
769.4126,3718.0
773.094,3760.0
776.7754,3695.0
780.4568,3826.0
784.1382,3640.0
787.8196,3579.0
791.501,3425.0
795.1824,3462.0
798.8638,3477.0
802.5452,3468.0
806.2266,3649.0
809.908,3621.0
813.5894,3670.0
817.2708,3505.0
820.9522,3607.0
824.6336,3692.0
828.315,3700.0
831.9964,3759.0
835.6778,3654.0
839.3592,3407.0
843.0406,3588.0
846.722,3613.0
850.4034,3478.0
854.0848,3213.0
857.7662,3290.0
861.4476,3372.0
865.129,3148.0
868.8104,3225.0
872.4918,3368.0
876.1732,3194.0
879.8546,3367.0
883.5360000000001,3373.0
887.2174,3292.0
890.8988,3210.0
894.5802,3454.0
898.2616,3459.0
901.943,3454.0
905.6244,3468.0
909.3058,3514.0
912.9872,3427.0
916.6686,3441.0
920.35,3310.0
924.0314,3439.0
927.7128,3342.0
931.3942,3377.0
935.0756,3243.0
938.757,3211.0
942.4384,3259.0
946.1198,3136.0
949.8012,2993.0
953.4826,3221.0
957.164,3071.0
960.8454,3146.0
964.5268,3220.0
968.2082,3174.0
971.8896,3147.0
975.571,3182.0
979.2524,3011.0
982.9338,3160.0
986.6152,2955.0
990.2966,3011.0
993.978,2973.0
997.6594,2993.0
1001.3408,3091.0
1005.0222,2995.0
1008.7036,2940.0
1012.385,3009.0
1016.0664,2862.0
1019.7478,2728.0
1023.4292,2706.0
1027.1106,2776.0
1030.792,2848.0
1034.4734,2778.0
1038.1548,2810.0
1041.8362,2861.0
1045.5176,2818.0
1049.199,2868.0
1052.8804,2725.0
1056.5618,2683.0
1060.2432,2765.0
1063.9246,2835.0
1067.606,2770.0
1071.2874,2765.0
1074.9688,2691.0
1078.6502,2709.0
1082.3316,2802.0
1086.013,2848.0
1089.6944,2715.0
1093.3758,2880.0
1097.0572,2886.0
1100.7386,2954.0
1104.42,2709.0
1108.1014,2848.0
1111.7828,2778.0
1115.4642,2787.0
1119.1456,2663.0
1122.827,2712.0
1126.5084,2764.0
1130.1898,2701.0
1133.8712,2699.0
1137.5526,2683.0
1141.234,2722.0
1144.9154,2656.0
1148.5968,2651.0
1152.2782,2660.0
1155.9596,2629.0
1159.641,2678.0
1163.3224,2586.0
1167.0038,2604.0
1170.6852,2519.0
1174.3666,2568.0
1178.048,2597.0
1181.7294,2531.0
1185.4108,2491.0
1189.0922,2609.0
1192.7736,2536.0
1196.455,2548.0
1200.1364,2482.0
1203.8178,2598.0
1207.4992,2550.0
1211.1806,2549.0
1214.862,2555.0
1218.5434,2610.0
1222.2248,2590.0
1225.9062,2568.0
1229.5876,2513.0
1233.269,2398.0
1236.9504,2635.0
1240.6318,2470.0
1244.3132,2479.0
1247.9946,2416.0
1251.676,2472.0
1255.3574,2443.0
1259.0388,2410.0
1262.7202,2346.0
1266.4016,2389.0
1270.083,2437.0
1273.7644,2411.0
1277.4458,2456.0
1281.1272,2313.0
1284.8086,2283.0
1288.49,2221.0
1292.1714,2309.0
1295.8528000000001,2256.0
1299.5342,2247.0
1303.2156,2321.0
1306.897,2242.0
1310.5784,2331.0
1314.2598,2253.0
1317.9412,2247.0
1321.6226,2210.0
1325.304,2155.0
1328.9854,2147.0
1332.6668,2217.0
1336.3482,2275.0
1340.0296,2281.0
1343.711,2236.0
1347.3924,2227.0
1351.0738,2242.0
1354.7552,2220.0
1358.4366,2192.0
1362.118,2092.0
1365.7994,2091.0
1369.4808,2103.0
1373.1622,2077.0
1376.8436,2074.0
1380.525,2083.0
1384.2064,2237.0
1387.8878,2197.0
1391.5692,2215.0
1395.2506,2203.0
1398.932,2107.0
1402.6134,2071.0
1406.2948,2116.0
1409.9762,2167.0
1413.6576,1998.0
1417.339,2147.0
1421.0204,2000.0
1424.7018,2008.0
1428.3832,1947.0
1432.0646,1936.0
1435.746,1879.0
1439.4274,1955.0
1443.1088,2027.0
1446.7902,1950.0
1450.4716,1844.0
1454.153,1910.0
1457.8344,1938.0
1461.5158,1928.0
1465.1972,2063.0
1468.8786,2008.0
1472.56,1914.0
1476.2414,2028.0
1479.9228,1976.0
1483.6042,1998.0
1487.2856,1891.0
1490.967,1993.0
1494.6484,1946.0
1498.3298,1903.0
1502.0112,1942.0
1505.6926,1827.0
1509.374,1789.0
1513.0554,1857.0
1516.7368,1888.0
1520.4182,1776.0
1524.0996,1745.0
1527.781,1786.0
1531.4624,1763.0
1535.1438,1807.0
1538.8252,1758.0
1542.5066,1805.0
1546.188,1822.0
1549.8694,1801.0
1553.5508,1708.0
1557.2322,1761.0
1560.9136,1804.0
1564.595,1861.0
1568.2764,1780.0
1571.9578,1866.0
1575.6392,1839.0
1579.3206,1811.0
1583.002,1808.0
1586.6834,1783.0
1590.3648,1704.0
1594.0462,1831.0
1597.7276,1718.0
1601.409,1722.0
1605.0904,1749.0
1608.7718,1543.0
1612.4532,1765.0
1616.1346,1789.0
1619.816,1724.0
1623.4974,1683.0
1627.1788,1679.0
1630.8602,1694.0
1634.5416,1675.0
1638.223,1623.0
1641.9044,1622.0
1645.5858,1598.0
1649.2672,1593.0
1652.9486,1650.0
1656.63,1550.0
1660.3114,1695.0
1663.9928,1673.0
1667.6742,1559.0
1671.3556,1673.0
1675.037,1619.0
1678.7184,1460.0
1682.3998,1586.0
1686.0812,1515.0
1689.7626,1484.0
1693.444,1441.0
1697.1254,1432.0
1700.8068,1311.0
1704.4882,1307.0
1708.1696,1400.0
1711.851,1402.0
1715.5324,1420.0
1719.2138,1497.0
1722.8952,1461.0
1726.5766,1470.0
1730.258,1464.0
1733.9394,1378.0
1737.6208,1356.0
1741.3022,1309.0
1744.9836,1231.0
1748.665,1343.0
1752.3464,1464.0
1756.0278,1413.0
1759.7092,1463.0
1763.3906,1386.0
1767.0720000000001,1288.0
1770.7534,1387.0
1774.4348,1444.0
1778.1162,1426.0
1781.7976,1305.0
1785.479,1322.0
1789.1604,1379.0
1792.8418,1297.0
1796.5232,1351.0
1800.2046,1425.0
1803.886,1211.0
1807.5674,1218.0
1811.2488,1248.0
1814.9302,1287.0
1818.6116,1238.0
1822.293,1075.0
1825.9744,1144.0
1829.6558,1178.0
1833.3372,1235.0
1837.0186,1353.0
1840.7,1251.0
1844.3814,1210.0
1848.0628,1121.0
1851.7442,1253.0
1855.4256,1176.0
1859.107,1277.0
1862.7884,1310.0
1866.4698,1266.0
1870.1512,1314.0
1873.8326,1256.0
1877.514,1123.0
1881.1954,1098.0
1884.8768,1042.0
1888.5582,1325.0
1892.2396,1269.0
1895.921,1211.0
1899.6024,1285.0
1903.2838,1247.0
1906.9652,1115.0
1910.6466,1099.0
1914.328,1222.0
1918.0094,1135.0
1921.6908,1202.0
1925.3722,1233.0
1929.0536,1177.0
1932.735,1036.0
1936.4164,1108.0
1940.0978,1032.0
1943.7792,1150.0
1947.4606,1227.0
1951.142,1153.0
1954.8234,1140.0
1958.5048,1118.0
1962.1862,1135.0
1965.8676,1243.0
1969.549,1184.0
1973.2304,1109.0
1976.9118,1144.0
1980.5932,1143.0
1984.2746,1060.0
1987.956,1098.0
1991.6374,1142.0
1995.3188,1134.0
1999.0002,1106.0
2002.6816,1091.0
2006.363,1096.0
2010.0444,1051.0
2013.7258,1090.0
2017.4072,1138.0
2021.0886,1134.0
2024.77,1084.0
2028.4514,1075.0
2032.1328,1048.0
2035.8142,1087.0
2039.4956,1021.0
2043.177,981.0
2046.8584,929.0
2050.5398,1002.0
2054.2212,1089.0
2057.9026,1036.0
2061.584,977.0
2065.2654,917.0
2068.9468,1046.0
2072.6282,963.0
2076.3096,1053.0
2079.991,1143.0
2083.6724,1175.0
2087.3538,1036.0
2091.0352,1066.0
2094.7166,1086.0
2098.398,1053.0
2102.0794,1034.0
2105.7608,1079.0
2109.4422,989.0
2113.1236,1010.0
2116.805,1030.0
2120.4864,1085.0
2124.1678,1026.0
2127.8492,1058.0
2131.5306,961.0
2135.212,999.0
2138.8934,1055.0
2142.5748,996.0
2146.2562,966.0
2149.9376,1135.0
2153.619,1070.0
2157.3004,1025.0
2160.9818,1009.0
2164.6632,907.0
2168.3446,961.0
2172.026,1027.0
2175.7074,947.0
2179.3888,887.0
2183.0702,973.0
2186.7516,915.0
2190.433,1034.0
2194.1144,1009.0
2197.7958,900.0
2201.4772,796.0
2205.1586,822.0
2208.84,968.0
2212.5214,816.0
2216.2028,984.0
2219.8842,913.0
2223.5656,874.0
2227.247,947.0
2230.9284,960.0
2234.6098,960.0
2238.2912,903.0
2241.9726,931.0
2245.654,871.0
2249.3354,839.0
2253.0168,892.0
2256.6982,881.0
2260.3796,908.0
2264.061,932.0
2267.7424,842.0
2271.4238,817.0
2275.1052,882.0
2278.7866,835.0
2282.468,764.0
2286.1494,817.0
2289.8308,779.0
2293.5122,840.0
2297.1936,835.0
2300.875,805.0
2304.5564,863.0
2308.2378,825.0
2311.9192,862.0
2315.6006,797.0
2319.282,861.0
2322.9634,762.0
2326.6448,845.0
2330.3262,826.0
2334.0076,854.0
2337.689,873.0
2341.3704,833.0
2345.0518,817.0
2348.7332,856.0
2352.4146,904.0
2356.096,927.0
2359.7774,829.0
2363.4588,754.0
2367.1402,746.0
2370.8216,900.0
2374.503,851.0
2378.1844,741.0
2381.8658,877.0
2385.5472,769.0
2389.2286,725.0
2392.91,790.0
2396.5914,660.0
2400.2728,728.0
2403.9542,715.0
2407.6356,801.0
2411.317,804.0
2414.9984,807.0
2418.6798,674.0
2422.3612,795.0
2426.0426,741.0
2429.724,748.0
2433.4054,717.0
2437.0868,794.0
2440.7682,749.0
2444.4496,820.0
2448.131,729.0
2451.8124,687.0
2455.4938,687.0
2459.1752,722.0
2462.8566,745.0
2466.538,783.0
2470.2194,761.0
2473.9008,768.0
2477.5822,671.0
2481.2636,663.0
2484.945,629.0
2488.6264,750.0
2492.3078,694.0
2495.9892,765.0
2499.6706,760.0
2503.352,766.0
2507.0334,800.0
2510.7148,701.0
2514.3962,646.0
2518.0776,657.0
2521.759,716.0
2525.4404,666.0
2529.1218,598.0
2532.8032,620.0
2536.4846000000002,735.0
2540.166,727.0
2543.8474,684.0
2547.5288,664.0
2551.2102,625.0
2554.8916,584.0
2558.573,609.0
2562.2544,689.0
2565.9358,690.0
2569.6172,722.0
2573.2986,729.0
2576.98,695.0
2580.6614,664.0
2584.3428,683.0
2588.0242,719.0
2591.7056000000002,670.0
2595.387,562.0
2599.0684,565.0
2602.7498,691.0
2606.4312,677.0
2610.1126,594.0
2613.794,636.0
2617.4754,650.0
2621.1568,653.0
2624.8382,671.0
2628.5196,714.0
2632.201,565.0
2635.8824,593.0
2639.5638,522.0
2643.2452,519.0
2646.9266,574.0
2650.608,641.0
2654.2894,631.0
2657.9708,609.0
2661.6522,610.0
2665.3336,593.0
2669.015,572.0
2672.6964,633.0
2676.3778,560.0
2680.0592,487.0
2683.7406,630.0
2687.422,630.0
2691.1034,561.0
2694.7848,482.0
2698.4662,641.0
2702.1476,566.0
2705.829,572.0
2709.5104,617.0
2713.1918,561.0
2716.8732,625.0
2720.5546,598.0
2724.236,539.0
2727.9174,604.0
2731.5988,501.0
2735.2802,499.0
2738.9616,431.0
2742.643,527.0
2746.3244,518.0
2750.0058,510.0
2753.6872,468.0
2757.3686,552.0
2761.05,612.0
2764.7314,489.0
2768.4128,453.0
2772.0942,430.0
2775.7756,641.0
2779.457,518.0
2783.1384,594.0
2786.8198,593.0
2790.5012,487.0
2794.1826,409.0
2797.864,549.0
2801.5454,584.0
2805.2268,421.0
2808.9082,534.0
2812.5896,491.0
2816.271,435.0
2819.9524,443.0
2823.6338,511.0
2827.3152,418.0
2830.9966,545.0
2834.678,533.0
2838.3594,457.0
2842.0408,386.0
2845.7222,539.0
2849.4036,483.0
2853.085,464.0
2856.7664,472.0
2860.4478,490.0
2864.1292,481.0
2867.8106,465.0
2871.492,533.0
2875.1734,466.0
2878.8548,569.0
2882.5362,565.0
2886.2176,548.0
2889.899,499.0
2893.5804,493.0
2897.2618,514.0
2900.9432,536.0
2904.6246,528.0
2908.306,476.0
2911.9874,414.0
2915.6688,438.0
2919.3502,489.0
2923.0316,459.0
2926.713,543.0
2930.3944,466.0
2934.0758,477.0
2937.7572,572.0
2941.4386,465.0
2945.12,502.0
2948.8014,423.0
2952.4828,391.0
2956.1642,381.0
2959.8456,476.0
2963.527,423.0
2967.2084,424.0
2970.8898,509.0
2974.5712,474.0
2978.2526,539.0
2981.934,378.0
2985.6154,435.0
2989.2968,429.0
2992.9782,512.0
2996.6596,459.0
3000.341,452.0
3004.0224,406.0
3007.7038000000002,459.0
3011.3852,420.0
3015.0666,377.0
3018.748,401.0
3022.4294,343.0
3026.1108,313.0
3029.7922,390.0
3033.4736,354.0
3037.155,360.0
3040.8364,445.0
3044.5178,533.0
3048.1992,425.0
3051.8806,391.0
3055.562,350.0
3059.2434,405.0
3062.9248,391.0
3066.6062,381.0
3070.2876,455.0
3073.969,430.0
3077.6504,436.0
3081.3318,525.0
3085.0132,469.0
3088.6946,438.0
3092.376,404.0
3096.0574,357.0
3099.7388,368.0
3103.4202,435.0
3107.1016,390.0
3110.783,390.0
3114.4644,405.0
3118.1458,322.0
3121.8272,210.0
3125.5086,395.0
3129.19,404.0
3132.8714,352.0
3136.5528,336.0
3140.2342,384.0
3143.9156,354.0
3147.597,453.0
3151.2784,343.0
3154.9598,362.0
3158.6412,396.0
3162.3226,392.0
3166.004,390.0
3169.6854,389.0
3173.3668,273.0
3177.0482,358.0
3180.7296,366.0
3184.411,371.0
3188.0924,375.0
3191.7738,369.0
3195.4552,388.0
3199.1366,421.0
3202.818,315.0
3206.4994,387.0
3210.1808,399.0
3213.8622,427.0
3217.5436,401.0
3221.225,392.0
3224.9064,336.0
3228.5878,333.0
3232.2692,395.0
3235.9506,321.0
3239.632,408.0
3243.3134,395.0
3246.9948,403.0
3250.6762,368.0
3254.3576,360.0
3258.039,334.0
3261.7204,343.0
3265.4018,413.0
3269.0832,370.0
3272.7646,276.0
3276.446,283.0
3280.1274,318.0
3283.8088,383.0
3287.4902,417.0
3291.1716,278.0
3294.853,389.0
3298.5344,417.0
3302.2158,358.0
3305.8972,300.0
3309.5786,286.0
3313.26,383.0
3316.9414,467.0
3320.6228,363.0
3324.3042,405.0
3327.9856,518.0
3331.667,444.0
3335.3484,311.0
3339.0298,353.0
3342.7112,352.0
3346.3926,375.0
3350.074,298.0
3353.7554,310.0
3357.4368,342.0
3361.1182,372.0
3364.7996,272.0
3368.481,294.0
3372.1624,489.0
3375.8438,266.0
3379.5252,403.0
3383.2066,352.0
3386.888,348.0
3390.5694,340.0
3394.2508,203.0
3397.9322,256.0
3401.6136,345.0
3405.295,261.0
3408.9764,255.0
3412.6578,392.0
3416.3392,368.0
3420.0206,423.0
3423.702,397.0
3427.3834,381.0
3431.0648,433.0
3434.7462,367.0
3438.4276,353.0
3442.109,378.0
3445.7904,187.0
3449.4718,446.0
3453.1532,391.0
3456.8346,380.0
3460.516,400.0
3464.1974,360.0
3467.8788,327.0
3471.5602,105.0
3475.2416,352.0
3478.9230000000002,237.0
3482.6044,307.0
3486.2858,313.0
3489.9672,381.0
3493.6486,457.0
3497.33,406.0
3501.0114,304.0
3504.6928,335.0
3508.3742,335.0
3512.0556,300.0
3515.737,298.0
3519.4184,305.0
3523.0998,356.0
3526.7812,352.0
3530.4626,420.0
3534.1440000000002,88.0
3537.8254,229.0
3541.5068,337.0
3545.1882,318.0
3548.8696,437.0
3552.551,442.0
3556.2324,396.0
3559.9138,428.0
3563.5952,352.0
3567.2766,205.0
3570.958,331.0
3574.6394,281.0
3578.3208,245.0
3582.0022,393.0
3585.6836,281.0
3589.365,442.0
3593.0464,294.0
3596.7278,426.0
3600.4092,274.0
3604.0906,314.0
3607.772,342.0
3611.4534,394.0
3615.1348,350.0
3618.8162,347.0
3622.4976,362.0
3626.179,397.0
3629.8604,294.0
3633.5418,254.0
3637.2232,229.0
3640.9046,346.0
3644.586,292.0
3648.2674,377.0
3651.9488,318.0
3655.6302,399.0
3659.3116,405.0
3662.993,417.0
3666.6744,329.0
3670.3558,453.0
3674.0372,452.0
3677.7186,277.0
3681.4,222.0
3685.0814,293.0
3688.7628,378.0
3692.4442,162.0
3696.1256,297.0
3699.807,314.0
3703.4884,154.0
3707.1698,86.0
3710.8512,194.0
3714.5326,244.0
3718.214,207.0
3721.8954,279.0
3725.5768,323.0
3729.2582,309.0
3732.9396,405.0
3736.621,268.0
3740.3024,260.0
3743.9838,358.0
3747.6652,341.0
3751.3466,325.0
3755.028,347.0
3758.7094,245.0
3762.3908,298.0
3766.0722,300.0
3769.7536,243.0
3773.435,271.0
3777.1164,265.0
3780.7978,309.0
3784.4792,286.0
3788.1606,284.0
3791.842,296.0
