RF pulse duration [Âµs],Atom number,Standard deviation Atomnumber
9.999999999999999e-06,1116.3333333333333,8.504900548115412
1.4999999999999999e-05,2114.6666666666665,118.49191252289478
1.9999999999999998e-05,2948.3333333333335,135.30828996529857
2.4999999999999998e-05,3564.0,200.18741219167603
2.9999999999999997e-05,3179.3333333333335,247.54864841750472
3.5e-05,2564.3333333333335,93.32916657365658
3.9999999999999996e-05,1828.0,116.0129303138232
4.4999999999999996e-05,1006.6666666666666,245.29641932432145
4.9999999999999996e-05,400.0,8.0
5.4999999999999995e-05,282.3333333333333,37.447741364911906
5.9999999999999995e-05,630.3333333333334,38.109491381194424
6.5e-05,1248.0,152.58767971235423
7e-05,2076.6666666666665,206.15851506385405
7.5e-05,2822.3333333333335,275.77950129285057
7.999999999999999e-05,3475.0,160.47741274085897
8.499999999999999e-05,3319.3333333333335,114.02338941345906
8.999999999999999e-05,2778.3333333333335,274.4199944124577
9.499999999999999e-05,1744.0,216.37467504308356
9.999999999999999e-05,965.0,103.23759005323593
0.00010499999999999999,437.5,7.7781745930520225
0.00010999999999999999,319.0,29.698484809834994
0.00011499999999999999,576.0,56.568542494923804
0.00011999999999999999,1427.0,104.65180361560904
0.000125,2256.0,175.36248173426378
0.00013,3039.0,46.66904755831214
0.000135,3925.5,111.01576464628796
0.00014,3715.0,280.0142853498728
0.000145,3268.5,159.0990257669732
0.00015,2638.5,72.8319984622144
0.000155,1659.5,106.77312395916867
0.00015999999999999999,1064.0,107.48023074035522
0.000165,614.5,133.64318164425748
0.00016999999999999999,928.5,23.33452377915607
0.000175,1637.0,227.6883835420683
0.00017999999999999998,2556.5,198.69700551341987
0.000185,3149.5,313.2483040656405
0.00018999999999999998,3864.5,193.04015126392747
0.000195,3557.0,84.8528137423857
0.00019999999999999998,3001.5,136.47160876900367
0.000205,2120.5,120.91525958289962
0.00020999999999999998,1502.5,171.82694782833104
